"Round_Reached","Round_Label","Team_Count","Avg_W","Avg_ORtg","Avg_DRtg","Avg_NRtg","Avg_SRS","Avg_Pace","Avg_Off_eFG","Avg_Off_ORB","Avg_Off_TOV","Avg_Def_DRB","Avg_Def_TOV"
0,"Missed Playoffs",280,29.66,106.96,110.99,-4.03,-3.72,95.65,0.503,24.88,13.32,74.53,13
1,"First Round",160,45.31,109.81,107.84,1.98,1.8,94.98,0.516,24.96,12.85,75.44,13.23
2,"Conference Semifinals",80,51.04,111.23,106.91,4.32,4.01,95.08,0.524,25.08,12.83,75.7,13.05
3,"Conference Finals",40,54,111.68,106.34,5.33,4.83,94.57,0.5249999999999999,25.23,12.86,75.65,13
4,"NBA Finals",40,55.98,112.59,106.24,6.34,5.86,95.45,0.538,24.11,13.07,75.7,13.23
