Team,Franchise,W,ORtg,DRtg,NRtg,SRS,Pace,Offense Four Factors_eFG%,Offense Four Factors_ORB%,Offense Four Factors_TOV%,Defense Four Factors_DRB%,Defense Four Factors_TOV%,Season
Chicago Bulls,Chicago Bulls,45.0,103.5,103.2,0.3,-0.02,89.3,0.47,29.4,13.6,73.6,13.2,2013
Utah Jazz,Utah Jazz,43.0,106.7,106.8,-0.1,0.3,90.9,0.492,28.8,13.8,73.2,14.0,2013
Boston Celtics,Boston Celtics,41.0,103.1,103.3,-0.2,-0.62,91.7,0.503,20.1,14.1,73.3,14.2,2013
Dallas Mavericks,Dallas Mavericks,41.0,105.9,106.5,-0.6,-0.24,94.1,0.506,21.8,13.0,73.1,13.3,2013
Milwaukee Bucks,Milwaukee Bucks,38.0,103.6,105.2,-1.6,-1.83,94.7,0.476,27.9,12.7,71.3,14.4,2013
Toronto Raptors,Toronto Raptors,34.0,105.9,107.5,-1.6,-1.96,90.4,0.488,25.5,13.0,73.4,13.6,2013
Minnesota Timberwolves,Minnesota Timberwolves,31.0,102.9,105.4,-2.5,-1.83,92.8,0.473,27.4,13.8,74.0,15.0,2013
Washington Wizards,Washington Wizards,29.0,100.2,103.0,-2.8,-2.78,92.2,0.475,24.6,14.2,74.6,13.7,2013
Portland Trail Blazers,Portland Trail Blazers,33.0,105.8,109.2,-3.4,-2.53,91.4,0.498,25.3,13.9,73.3,12.5,2013
Philadelphia 76ers,Philadelphia 76ers,34.0,102.0,105.7,-3.7,-3.51,91.0,0.481,24.9,12.5,73.4,13.7,2013
Detroit Pistons,Detroit Pistons,29.0,103.8,108.1,-4.3,-4.33,90.8,0.487,28.3,14.3,73.0,13.1,2013
New Orleans Hornets,New Orleans Pelicans,27.0,105.7,110.1,-4.4,-3.12,88.5,0.489,29.2,14.0,74.4,13.1,2013
Cleveland Cavaliers,Cleveland Cavaliers,24.0,104.3,109.4,-5.1,-4.87,92.3,0.473,28.1,13.0,72.6,14.4,2013
Sacramento Kings,Sacramento Kings,28.0,106.2,111.4,-5.2,-4.26,93.6,0.491,26.6,13.4,71.0,13.6,2013
Phoenix Suns,Phoenix Suns,25.0,101.2,108.1,-6.9,-5.75,93.4,0.477,27.0,14.3,71.9,14.2,2013
Orlando Magic,Orlando Magic,20.0,101.6,109.1,-7.5,-7.12,92.2,0.485,25.4,13.7,74.6,11.8,2013
Charlotte Bobcats,Charlotte Hornets,21.0,101.5,111.5,-10.0,-9.29,91.5,0.46,25.7,13.2,71.1,13.2,2013
San Antonio Spurs,San Antonio Spurs,62.0,110.5,102.4,8.1,8.0,95.0,0.537,22.7,13.5,76.4,12.8,2014
Los Angeles Clippers,Los Angeles Clippers,57.0,112.1,104.8,7.3,7.27,95.9,0.526,25.0,12.7,72.5,13.8,2014
Oklahoma City Thunder,Oklahoma City Thunder,59.0,110.5,103.9,6.6,6.66,95.4,0.52,26.5,14.0,75.6,13.9,2014
Miami Heat,Miami Heat,54.0,110.9,105.8,5.1,4.15,91.2,0.554,20.6,14.6,73.0,15.8,2014
Golden State Warriors,Golden State Warriors,51.0,107.5,102.6,4.9,5.15,96.2,0.517,25.1,13.8,76.3,13.6,2014
Indiana Pacers,Indiana Pacers,56.0,104.1,99.3,4.8,3.63,92.5,0.49,24.9,14.3,76.8,12.9,2014
Houston Rockets,Houston Rockets,54.0,111.0,106.3,4.7,5.06,96.3,0.531,27.4,14.6,74.1,12.5,2014
Portland Trail Blazers,Portland Trail Blazers,54.0,111.5,107.4,4.1,4.44,94.9,0.504,28.0,12.4,74.7,10.9,2014
Toronto Raptors,Toronto Raptors,48.0,108.8,105.3,3.5,2.55,91.8,0.498,27.2,13.2,74.9,14.1,2014
Phoenix Suns,Phoenix Suns,48.0,109.5,106.7,2.8,3.02,95.8,0.519,26.4,14.0,73.7,13.9,2014
Minnesota Timberwolves,Minnesota Timberwolves,40.0,108.9,106.2,2.7,3.1,97.3,0.486,27.4,12.2,74.4,14.8,2014
Dallas Mavericks,Dallas Mavericks,49.0,111.2,108.7,2.5,2.91,93.5,0.526,24.6,12.7,72.7,14.8,2014
Chicago Bulls,Chicago Bulls,48.0,102.5,100.5,2.0,1.2,90.2,0.471,27.2,14.2,75.4,13.7,2014
Memphis Grizzlies,Memphis Grizzlies,50.0,106.3,104.6,1.7,2.18,89.9,0.494,28.3,13.1,75.7,13.8,2014
Washington Wizards,Washington Wizards,44.0,106.0,104.6,1.4,0.48,93.2,0.506,25.2,13.6,75.7,15.0,2014
Charlotte Bobcats,Charlotte Hornets,43.0,103.6,103.8,-0.2,-0.89,92.4,0.481,21.9,11.7,77.6,12.6,2014
Atlanta Hawks,Atlanta Hawks,38.0,105.9,106.4,-0.5,-0.88,94.6,0.515,21.0,14.3,74.4,14.0,2014
New York Knicks,New York Knicks,37.0,108.3,109.1,-0.8,-1.4,90.3,0.505,25.1,12.5,74.3,14.0,2014
Brooklyn Nets,Brooklyn Nets,44.0,106.7,107.7,-1.0,-1.58,91.4,0.514,21.7,14.1,72.3,14.9,2014
Denver Nuggets,Denver Nuggets,36.0,106.0,108.2,-2.2,-1.4,98.1,0.497,27.5,14.0,74.5,12.8,2014
New Orleans Pelicans,New Orleans Pelicans,34.0,107.2,110.1,-2.9,-1.98,92.2,0.495,26.9,12.9,73.8,13.6,2014
Sacramento Kings,Sacramento Kings,28.0,105.7,108.8,-3.1,-2.08,94.4,0.484,27.8,13.9,76.6,12.7,2014
Cleveland Cavaliers,Cleveland Cavaliers,33.0,104.2,107.7,-3.5,-3.86,93.1,0.479,27.2,13.0,75.8,13.0,2014
Detroit Pistons,Detroit Pistons,29.0,105.9,109.7,-3.8,-4.13,94.9,0.482,31.4,12.9,73.4,13.8,2014
Boston Celtics,Boston Celtics,25.0,102.9,107.7,-4.8,-4.97,93.3,0.477,27.4,14.2,74.2,13.4,2014
Orlando Magic,Orlando Magic,23.0,101.7,107.4,-5.7,-5.88,93.6,0.487,22.4,13.9,75.5,13.0,2014
Los Angeles Lakers,Los Angeles Lakers,27.0,104.2,110.6,-6.4,-5.33,98.7,0.505,20.2,13.7,71.0,12.4,2014
Utah Jazz,Utah Jazz,25.0,103.5,111.3,-7.8,-6.27,91.4,0.484,25.5,13.9,74.5,12.1,2014
Milwaukee Bucks,Milwaukee Bucks,15.0,103.0,111.8,-8.8,-8.41,91.8,0.479,27.1,14.1,71.4,13.2,2014
Philadelphia 76ers,Philadelphia 76ers,19.0,99.4,109.9,-10.5,-10.66,99.2,0.475,24.8,14.8,72.4,14.9,2014
Golden State Warriors,Golden State Warriors,67.0,111.6,101.4,10.2,10.01,98.3,0.54,24.1,13.1,74.5,14.3,2015
Los Angeles Clippers,Los Angeles Clippers,56.0,112.4,105.5,6.9,6.8,94.7,0.533,22.8,11.6,75.7,13.2,2015
San Antonio Spurs,San Antonio Spurs,55.0,108.5,102.0,6.5,6.34,93.8,0.517,23.4,13.1,77.3,13.3,2015
Atlanta Hawks,Atlanta Hawks,60.0,108.9,103.1,5.8,4.75,93.9,0.527,21.4,13.5,73.4,14.9,2015
Cleveland Cavaliers,Cleveland Cavaliers,53.0,111.1,106.3,4.8,4.08,92.3,0.52,26.8,13.4,74.7,12.6,2015
Portland Trail Blazers,Portland Trail Blazers,51.0,108.2,103.7,4.5,4.41,94.2,0.508,24.2,12.6,76.2,11.3,2015
Houston Rockets,Houston Rockets,56.0,107.0,103.4,3.6,3.82,96.5,0.512,26.8,15.0,72.9,14.6,2015
Memphis Grizzlies,Memphis Grizzlies,55.0,105.7,102.2,3.5,3.62,92.0,0.489,24.7,12.6,75.3,14.5,2015
Toronto Raptors,Toronto Raptors,49.0,111.0,107.7,3.3,2.45,92.8,0.508,25.6,12.0,73.3,13.4,2015
Chicago Bulls,Chicago Bulls,50.0,107.5,104.3,3.2,2.54,92.8,0.489,27.0,12.9,74.4,11.3,2015
Dallas Mavericks,Dallas Mavericks,50.0,109.5,106.4,3.1,3.36,95.2,0.515,23.6,11.9,72.2,14.7,2015
Oklahoma City Thunder,Oklahoma City Thunder,45.0,107.8,105.5,2.3,2.47,95.7,0.492,28.9,13.1,75.6,12.4,2015
New Orleans Pelicans,New Orleans Pelicans,45.0,108.2,107.3,0.9,1.13,91.4,0.501,27.1,12.5,75.1,11.7,2015
Washington Wizards,Washington Wizards,46.0,103.7,103.0,0.7,0.17,93.7,0.499,24.9,14.0,77.3,12.9,2015
Milwaukee Bucks,Milwaukee Bucks,41.0,102.7,102.2,0.5,-0.09,94.1,0.499,25.4,15.5,73.3,15.9,2015
Indiana Pacers,Indiana Pacers,38.0,103.5,103.2,0.3,-0.23,93.2,0.484,24.0,13.1,77.9,12.0,2015
Utah Jazz,Utah Jazz,38.0,105.1,104.9,0.2,0.71,90.4,0.494,29.1,14.6,76.3,12.8,2015
Boston Celtics,Boston Celtics,40.0,104.7,104.5,0.2,-0.4,95.8,0.489,24.7,12.5,75.0,13.7,2015
Phoenix Suns,Phoenix Suns,39.0,105.3,106.2,-0.9,-0.38,96.3,0.501,24.5,13.7,73.5,14.0,2015
Detroit Pistons,Detroit Pistons,32.0,105.3,106.4,-1.1,-1.39,92.8,0.482,27.7,12.3,75.0,13.2,2015
Miami Heat,Miami Heat,37.0,103.9,106.7,-2.8,-2.92,90.9,0.5,23.2,14.5,73.4,14.2,2015
Brooklyn Nets,Brooklyn Nets,38.0,104.4,107.4,-3.0,-3.13,92.7,0.491,23.9,13.0,73.7,12.9,2015
Charlotte Hornets,Charlotte Hornets,33.0,100.1,103.5,-3.4,-3.44,93.0,0.456,22.1,11.2,79.3,12.0,2015
Denver Nuggets,Denver Nuggets,30.0,104.5,108.2,-3.7,-3.07,96.1,0.479,26.6,12.7,74.7,13.0,2015
Sacramento Kings,Sacramento Kings,29.0,105.3,109.2,-3.9,-3.07,95.4,0.49,26.5,14.8,75.2,11.8,2015
Orlando Magic,Orlando Magic,25.0,101.6,107.7,-6.1,-5.87,93.8,0.494,23.1,14.0,76.0,13.6,2015
Los Angeles Lakers,Los Angeles Lakers,21.0,103.4,110.6,-7.2,-6.17,94.0,0.473,25.4,12.1,76.3,12.1,2015
Minnesota Timberwolves,Minnesota Timberwolves,16.0,102.9,112.2,-9.3,-8.0,94.4,0.468,26.6,13.7,71.6,13.9,2015
Philadelphia 76ers,Philadelphia 76ers,18.0,95.5,104.8,-9.3,-9.04,95.7,0.459,25.5,16.0,73.0,15.2,2015
New York Knicks,New York Knicks,17.0,99.9,110.0,-10.1,-9.5,91.2,0.47,24.5,14.0,73.1,13.3,2015
San Antonio Spurs,San Antonio Spurs,67.0,110.3,99.0,11.3,10.28,93.8,0.526,23.0,12.4,79.1,14.1,2016
Golden State Warriors,Golden State Warriors,73.0,114.5,103.8,10.7,10.38,99.3,0.563,23.5,13.5,76.0,12.6,2016
Oklahoma City Thunder,Oklahoma City Thunder,55.0,113.1,105.6,7.5,7.09,96.7,0.524,31.1,14.0,76.0,11.7,2016
Cleveland Cavaliers,Cleveland Cavaliers,57.0,110.9,104.5,6.4,5.45,93.3,0.524,25.1,12.7,78.5,12.6,2016
Toronto Raptors,Toronto Raptors,56.0,110.0,105.2,4.8,4.08,92.9,0.504,24.6,12.3,77.7,12.7,2016
Los Angeles Clippers,Los Angeles Clippers,53.0,108.3,103.8,4.5,4.13,95.8,0.524,20.1,12.1,73.8,13.8,2016
Atlanta Hawks,Atlanta Hawks,48.0,105.1,101.4,3.7,3.49,97.1,0.516,19.1,13.8,74.6,14.4,2016
Boston Celtics,Boston Celtics,48.0,106.8,103.6,3.2,2.84,98.5,0.488,25.1,12.1,74.6,14.6,2016
Charlotte Hornets,Charlotte Hornets,48.0,107.2,104.3,2.9,2.36,95.6,0.502,20.0,11.7,79.8,12.5,2016
Utah Jazz,Utah Jazz,40.0,105.9,103.9,2.0,1.84,91.0,0.501,25.9,14.2,77.7,13.5,2016
Miami Heat,Miami Heat,48.0,106.1,104.4,1.7,1.5,93.6,0.508,23.8,13.3,77.8,12.1,2016
Indiana Pacers,Indiana Pacers,45.0,104.6,102.9,1.7,1.62,96.6,0.497,23.4,13.5,76.0,14.3,2016
Portland Trail Blazers,Portland Trail Blazers,44.0,108.8,108.0,0.8,0.98,96.0,0.511,25.9,13.2,76.2,12.1,2016
Detroit Pistons,Detroit Pistons,44.0,106.1,105.5,0.6,0.43,95.1,0.491,27.0,12.2,79.3,12.5,2016
Houston Rockets,Houston Rockets,41.0,108.3,108.1,0.2,0.34,97.6,0.516,25.7,14.2,72.8,14.8,2016
Dallas Mavericks,Dallas Mavericks,42.0,106.7,107.0,-0.3,-0.02,94.3,0.502,20.6,12.0,76.2,12.8,2016
Washington Wizards,Washington Wizards,41.0,105.3,105.8,-0.5,-0.5,98.5,0.511,20.6,13.1,77.7,14.6,2016
Chicago Bulls,Chicago Bulls,42.0,105.0,106.5,-1.5,-1.46,95.7,0.487,24.5,12.6,74.9,10.7,2016
Orlando Magic,Orlando Magic,35.0,105.1,106.8,-1.7,-1.68,96.0,0.5,23.1,12.8,76.5,13.8,2016
Sacramento Kings,Sacramento Kings,33.0,106.0,108.4,-2.4,-2.32,100.0,0.51,23.9,14.2,74.9,14.0,2016
Memphis Grizzlies,Memphis Grizzlies,42.0,105.4,107.8,-2.4,-2.14,93.3,0.477,25.3,12.3,75.1,15.2,2016
New York Knicks,New York Knicks,32.0,104.6,107.6,-3.0,-2.74,93.4,0.483,23.7,12.6,75.8,10.5,2016
Denver Nuggets,Denver Nuggets,33.0,105.6,108.9,-3.3,-2.81,95.7,0.489,25.8,13.2,77.3,12.6,2016
Minnesota Timberwolves,Minnesota Timberwolves,29.0,106.5,110.1,-3.6,-3.38,95.2,0.498,24.3,13.9,74.7,13.6,2016
New Orleans Pelicans,New Orleans Pelicans,30.0,105.6,109.5,-3.9,-3.56,96.8,0.498,21.2,12.3,78.8,12.7,2016
Milwaukee Bucks,Milwaukee Bucks,33.0,104.3,108.7,-4.4,-3.98,94.2,0.499,24.9,14.2,73.1,14.2,2016
Phoenix Suns,Phoenix Suns,23.0,102.2,109.0,-6.8,-6.32,98.5,0.487,25.4,15.2,77.1,13.5,2016
Brooklyn Nets,Brooklyn Nets,21.0,103.2,110.9,-7.7,-7.12,95.2,0.492,24.1,13.6,75.7,13.1,2016
Los Angeles Lakers,Los Angeles Lakers,17.0,101.6,111.6,-10.0,-8.92,95.6,0.46,23.1,12.5,74.7,11.6,2016
Philadelphia 76ers,Philadelphia 76ers,10.0,98.8,109.2,-10.4,-9.92,97.9,0.487,20.6,14.8,74.0,13.5,2016
Golden State Warriors,Golden State Warriors,67.0,115.6,104.0,11.6,11.35,99.8,0.563,22.8,13.2,74.9,13.5,2017
San Antonio Spurs,San Antonio Spurs,61.0,111.1,103.5,7.6,7.13,94.2,0.524,24.0,12.6,77.6,13.5,2017
Houston Rockets,Houston Rockets,55.0,114.7,109.0,5.7,5.84,100.0,0.545,24.6,13.3,75.8,13.2,2017
Toronto Raptors,Toronto Raptors,51.0,112.3,107.8,4.5,3.65,94.7,0.517,25.0,11.8,76.3,13.5,2017
Los Angeles Clippers,Los Angeles Clippers,51.0,112.7,108.2,4.5,4.42,96.1,0.537,21.5,12.0,76.9,12.1,2017
Utah Jazz,Utah Jazz,51.0,109.6,105.3,4.3,4.0,91.6,0.526,23.2,13.2,78.9,11.8,2017
Cleveland Cavaliers,Cleveland Cavaliers,51.0,113.6,110.3,3.3,2.87,96.2,0.547,21.9,12.6,75.8,11.4,2017
Boston Celtics,Boston Celtics,53.0,111.2,108.4,2.8,2.25,96.8,0.525,21.2,12.2,75.3,12.6,2017
Washington Wizards,Washington Wizards,49.0,111.2,109.3,1.9,1.36,97.4,0.528,24.1,12.8,75.5,13.8,2017
Miami Heat,Miami Heat,41.0,107.8,106.7,1.1,0.77,95.2,0.512,24.2,12.4,76.4,12.6,2017
Oklahoma City Thunder,Oklahoma City Thunder,47.0,108.3,107.5,0.8,1.14,97.8,0.5,27.9,13.2,79.0,12.5,2017
Memphis Grizzlies,Memphis Grizzlies,43.0,107.7,107.1,0.6,0.96,92.3,0.491,24.8,12.1,77.5,13.6,2017
Denver Nuggets,Denver Nuggets,40.0,113.2,112.7,0.5,0.7,98.3,0.53,27.3,13.2,78.7,10.9,2017
Chicago Bulls,Chicago Bulls,41.0,107.4,107.0,0.4,0.03,95.3,0.487,27.0,12.3,76.8,12.4,2017
Charlotte Hornets,Charlotte Hornets,36.0,108.8,108.6,0.2,-0.07,95.7,0.501,19.9,10.7,79.6,12.1,2017
Indiana Pacers,Indiana Pacers,42.0,108.6,108.8,-0.2,-0.64,95.9,0.516,21.2,12.8,75.5,13.6,2017
Milwaukee Bucks,Milwaukee Bucks,42.0,109.1,109.3,-0.2,-0.45,94.5,0.527,21.5,13.2,75.4,13.6,2017
Portland Trail Blazers,Portland Trail Blazers,41.0,110.3,110.8,-0.5,-0.23,96.7,0.52,23.0,12.5,76.8,11.6,2017
Atlanta Hawks,Atlanta Hawks,43.0,104.9,105.7,-0.8,-1.23,97.4,0.504,23.6,14.2,76.1,13.8,2017
Detroit Pistons,Detroit Pistons,37.0,106.0,107.1,-1.1,-1.29,95.0,0.492,24.1,10.9,81.2,12.1,2017
Minnesota Timberwolves,Minnesota Timberwolves,31.0,110.8,112.0,-1.2,-0.64,94.6,0.511,27.2,12.9,75.9,13.2,2017
New Orleans Pelicans,New Orleans Pelicans,34.0,105.2,107.4,-2.2,-1.69,98.0,0.504,18.5,11.7,76.8,12.4,2017
Dallas Mavericks,Dallas Mavericks,33.0,105.6,108.8,-3.2,-2.53,92.2,0.505,18.1,11.6,77.6,14.4,2017
New York Knicks,New York Knicks,31.0,107.7,111.5,-3.8,-3.87,96.0,0.496,26.6,12.4,74.1,11.7,2017
Sacramento Kings,Sacramento Kings,32.0,107.3,111.3,-4.0,-3.29,94.9,0.516,21.0,13.7,76.3,12.9,2017
Phoenix Suns,Phoenix Suns,24.0,106.6,112.2,-5.6,-5.14,100.3,0.493,26.0,13.4,76.4,13.1,2017
Philadelphia 76ers,Philadelphia 76ers,28.0,103.2,108.9,-5.7,-5.83,98.5,0.501,22.4,14.9,75.3,13.5,2017
Brooklyn Nets,Brooklyn Nets,20.0,104.1,110.7,-6.6,-6.74,101.3,0.507,19.6,14.7,76.1,11.6,2017
Orlando Magic,Orlando Magic,29.0,103.7,110.5,-6.8,-6.61,96.8,0.489,21.6,12.1,77.4,11.9,2017
Los Angeles Lakers,Los Angeles Lakers,26.0,106.0,113.0,-7.0,-6.29,98.5,0.501,25.0,13.5,75.8,13.0,2017
Houston Rockets,Houston Rockets,65.0,114.7,106.1,8.6,8.21,97.6,0.551,21.3,12.7,79.9,13.4,2018
Toronto Raptors,Toronto Raptors,59.0,113.8,105.9,7.9,7.29,97.4,0.539,23.0,12.1,77.7,13.0,2018
Golden State Warriors,Golden State Warriors,58.0,113.6,107.7,5.9,5.79,99.6,0.569,21.0,14.1,76.3,12.6,2018
Utah Jazz,Utah Jazz,48.0,108.4,103.9,4.5,4.47,95.7,0.527,21.5,13.7,79.8,14.0,2018
Philadelphia 76ers,Philadelphia 76ers,52.0,109.5,105.0,4.5,4.3,99.8,0.535,25.3,14.6,78.6,12.6,2018
Boston Celtics,Boston Celtics,55.0,107.6,103.9,3.7,3.23,96.0,0.518,21.5,12.9,78.4,13.0,2018
Oklahoma City Thunder,Oklahoma City Thunder,48.0,110.7,107.2,3.5,3.42,96.7,0.514,27.7,12.4,77.4,14.7,2018
San Antonio Spurs,San Antonio Spurs,47.0,107.9,104.8,3.1,2.89,95.0,0.507,23.7,12.2,78.6,13.2,2018
Portland Trail Blazers,Portland Trail Blazers,49.0,109.1,106.4,2.7,2.6,96.5,0.511,23.3,12.3,79.1,11.7,2018
Minnesota Timberwolves,Minnesota Timberwolves,47.0,113.4,111.1,2.3,2.35,96.0,0.523,24.4,11.4,76.4,13.9,2018
Denver Nuggets,Denver Nuggets,46.0,112.5,111.0,1.5,1.57,96.8,0.536,25.7,13.4,77.5,12.6,2018
Indiana Pacers,Indiana Pacers,48.0,109.5,108.1,1.4,1.18,96.0,0.525,22.7,12.3,76.2,14.2,2018
New Orleans Pelicans,New Orleans Pelicans,48.0,109.6,108.3,1.3,1.48,100.5,0.541,20.0,13.3,76.7,12.5,2018
Cleveland Cavaliers,Cleveland Cavaliers,50.0,112.9,111.9,1.0,0.59,98.0,0.547,20.1,12.6,77.3,12.2,2018
Washington Wizards,Washington Wizards,43.0,109.3,108.7,0.6,0.53,96.6,0.525,23.5,13.3,77.1,13.6,2018
Miami Heat,Miami Heat,44.0,106.8,106.3,0.5,0.15,95.6,0.52,21.5,13.3,79.0,13.1,2018
Charlotte Hornets,Charlotte Hornets,36.0,109.4,109.1,0.3,0.07,98.4,0.508,22.2,11.4,80.7,12.4,2018
Los Angeles Clippers,Los Angeles Clippers,42.0,110.3,110.2,0.1,0.15,98.7,0.527,23.5,13.2,76.1,12.6,2018
Detroit Pistons,Detroit Pistons,39.0,107.2,107.3,-0.1,-0.26,96.2,0.512,22.7,12.3,78.5,13.7,2018
Milwaukee Bucks,Milwaukee Bucks,44.0,109.8,110.1,-0.3,-0.45,96.3,0.531,20.4,12.9,75.9,14.2,2018
Los Angeles Lakers,Los Angeles Lakers,35.0,106.5,108.0,-1.5,-1.44,100.3,0.517,23.6,13.8,77.7,12.5,2018
Dallas Mavericks,Dallas Mavericks,24.0,106.3,109.5,-3.2,-2.7,95.6,0.513,18.0,11.5,78.9,12.8,2018
New York Knicks,New York Knicks,29.0,107.1,110.7,-3.6,-3.53,96.8,0.51,24.1,13.3,76.7,12.1,2018
Brooklyn Nets,Brooklyn Nets,28.0,106.9,110.6,-3.7,-3.67,98.9,0.514,21.0,13.6,77.0,11.0,2018
Orlando Magic,Orlando Magic,25.0,105.2,110.1,-4.9,-4.92,98.1,0.512,20.0,13.3,75.6,12.8,2018
Atlanta Hawks,Atlanta Hawks,24.0,105.0,110.6,-5.6,-5.3,98.3,0.512,21.1,14.1,76.2,13.6,2018
Memphis Grizzlies,Memphis Grizzlies,22.0,104.5,111.0,-6.5,-5.81,94.9,0.5,22.4,14.0,76.5,13.8,2018
Chicago Bulls,Chicago Bulls,27.0,103.8,110.9,-7.1,-6.84,98.3,0.497,20.6,12.6,80.6,12.4,2018
Sacramento Kings,Sacramento Kings,27.0,103.7,111.1,-7.4,-6.6,94.9,0.502,21.5,12.8,77.6,13.5,2018
Phoenix Suns,Phoenix Suns,21.0,103.5,112.9,-9.4,-8.8,100.3,0.495,22.5,13.9,76.5,11.9,2018
Milwaukee Bucks,Milwaukee Bucks,60.0,113.8,105.2,8.6,8.04,103.3,0.55,20.8,12.0,80.3,11.5,2019
Golden State Warriors,Golden State Warriors,57.0,115.9,109.5,6.4,6.42,100.9,0.565,22.5,12.6,77.1,11.7,2019
Toronto Raptors,Toronto Raptors,58.0,113.1,107.1,6.0,5.49,100.2,0.543,21.9,12.4,77.1,13.1,2019
Utah Jazz,Utah Jazz,50.0,110.9,105.7,5.2,5.28,100.3,0.538,22.9,13.4,80.3,12.4,2019
Houston Rockets,Houston Rockets,53.0,115.5,110.7,4.8,4.96,97.9,0.542,22.8,12.0,74.4,13.4,2019
Boston Celtics,Boston Celtics,49.0,112.2,107.8,4.4,3.9,99.6,0.534,21.6,11.5,77.0,13.4,2019
Portland Trail Blazers,Portland Trail Blazers,53.0,114.7,110.5,4.2,4.43,99.1,0.528,26.6,12.1,77.9,11.0,2019
Denver Nuggets,Denver Nuggets,54.0,113.0,108.9,4.1,4.19,97.7,0.527,26.6,11.9,78.0,12.3,2019
Indiana Pacers,Indiana Pacers,48.0,109.9,106.5,3.4,2.76,98.1,0.53,21.9,12.4,76.2,14.1,2019
Oklahoma City Thunder,Oklahoma City Thunder,49.0,110.3,107.0,3.3,3.56,102.8,0.514,26.0,11.7,78.2,14.4,2019
Philadelphia 76ers,Philadelphia 76ers,51.0,112.6,110.0,2.6,2.25,101.6,0.532,24.5,12.9,78.6,11.1,2019
San Antonio Spurs,San Antonio Spurs,48.0,112.9,111.2,1.7,1.8,98.3,0.534,21.0,11.0,79.4,11.0,2019
Los Angeles Clippers,Los Angeles Clippers,48.0,112.4,111.5,0.9,1.09,101.7,0.529,22.0,12.7,76.0,11.4,2019
Orlando Magic,Orlando Magic,42.0,108.9,108.1,0.8,0.28,98.1,0.518,22.0,11.9,79.7,11.8,2019
Brooklyn Nets,Brooklyn Nets,42.0,109.6,109.7,-0.1,-0.4,100.8,0.52,23.8,13.0,76.4,11.6,2019
Detroit Pistons,Detroit Pistons,41.0,109.0,109.2,-0.2,-0.56,97.4,0.509,24.8,12.3,78.7,12.8,2019
Miami Heat,Miami Heat,39.0,107.3,107.6,-0.3,-0.45,98.2,0.515,24.8,13.1,77.6,12.7,2019
Sacramento Kings,Sacramento Kings,39.0,110.4,111.5,-1.1,-0.81,103.1,0.524,23.1,11.5,75.5,13.6,2019
Charlotte Hornets,Charlotte Hornets,39.0,111.4,112.5,-1.1,-1.32,98.7,0.514,21.7,10.9,77.1,12.1,2019
New Orleans Pelicans,New Orleans Pelicans,33.0,111.4,112.6,-1.2,-1.1,103.3,0.529,24.1,12.6,76.8,11.6,2019
Dallas Mavericks,Dallas Mavericks,33.0,109.4,110.7,-1.3,-0.87,99.0,0.519,22.7,12.7,77.5,11.6,2019
Minnesota Timberwolves,Minnesota Timberwolves,36.0,111.4,112.9,-1.5,-1.02,100.2,0.511,24.6,11.4,74.9,12.9,2019
Los Angeles Lakers,Los Angeles Lakers,37.0,107.8,109.5,-1.7,-1.33,103.2,0.527,22.2,13.4,76.4,12.2,2019
Memphis Grizzlies,Memphis Grizzlies,33.0,106.1,108.8,-2.7,-2.08,96.6,0.508,20.0,12.9,77.6,13.9,2019
Washington Wizards,Washington Wizards,32.0,111.1,113.9,-2.8,-3.3,101.4,0.531,21.3,12.3,74.1,13.5,2019
Atlanta Hawks,Atlanta Hawks,29.0,108.1,113.9,-5.8,-6.06,103.9,0.522,24.7,14.3,76.4,12.8,2019
Chicago Bulls,Chicago Bulls,22.0,104.8,113.2,-8.4,-8.32,99.0,0.505,19.4,12.7,77.3,11.9,2019
New York Knicks,New York Knicks,17.0,104.5,113.7,-9.2,-8.93,99.6,0.49,22.1,12.4,76.1,11.7,2019
Phoenix Suns,Phoenix Suns,19.0,105.9,115.1,-9.2,-8.61,100.5,0.514,20.5,13.8,72.5,13.5,2019
Cleveland Cavaliers,Cleveland Cavaliers,19.0,107.7,117.6,-9.9,-9.39,96.6,0.503,23.7,12.2,77.0,11.5,2019
Milwaukee Bucks,Milwaukee Bucks,56.0,112.4,102.9,9.5,9.41,105.1,0.552,20.7,12.9,81.6,12.0,2020
Boston Celtics,Boston Celtics,48.0,113.3,107.0,6.3,5.83,99.5,0.531,23.9,12.2,77.4,13.5,2020
Los Angeles Clippers,Los Angeles Clippers,49.0,113.9,107.6,6.3,6.66,101.5,0.535,23.5,12.6,77.6,12.2,2020
Toronto Raptors,Toronto Raptors,53.0,111.1,105.0,6.1,5.97,100.9,0.536,21.3,13.1,76.7,14.6,2020
Los Angeles Lakers,Los Angeles Lakers,52.0,112.0,106.3,5.7,6.28,100.9,0.542,24.5,13.3,78.8,14.1,2020
Dallas Mavericks,Dallas Mavericks,43.0,116.7,111.7,5.0,4.87,99.3,0.545,23.2,11.2,77.7,10.6,2020
Miami Heat,Miami Heat,44.0,112.5,109.5,3.0,2.59,98.3,0.547,20.3,13.5,79.5,12.6,2020
Houston Rockets,Houston Rockets,44.0,112.9,110.1,2.8,3.13,103.7,0.537,21.0,12.6,75.6,13.7,2020
Utah Jazz,Utah Jazz,44.0,112.3,109.9,2.4,2.52,98.6,0.549,21.6,13.7,78.9,11.1,2020
